age  team  league  position  game_played  game_started  min_pg  fg_pg  fga_pg  fg_pct  fg3_pg  fg3a_pg  fg3_pct  fg2_pg  fg2a_pg  fg2_pct  efg_pct  ft_pg  fta_pg  ft_pct  orb_pg  drb_pg  trb_pg  ast_pg  stl_pg  blk_pg  tov_pg  pf_pg  pts_pg  draft_order  shoot_hand  player_height  player_weight  C  SG  SF  PG  PF  Right  Left  6-11  7-1  6-8  7-3  6-0  5-10  6-5  6-6  5-11  6-1  6-4  5-9  6-7  6-3  6-10  7-2  6-9  7-0  6-2  
23  OKC  NBA  SG  68  6  15.5  2.0  5.0  .393  1.4  3.6  .381  0.6  1.4  .426  .531  0.6  0.7  .898  0.3  1.0  1.3  0.6  0.5  0.1  0.5  1.7  6.0  32  Right  6-6  190  0  1  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  
24  OKC  NBA  SG  22  1  15.8  1.4  3.9  .365  0.8  2.5  .309  0.6  1.4  .467  .465  0.4  0.5  .750  0.4  1.1  1.5  0.5  0.6  0.1  0.4  2.0  4.0  32  Right  6-6  190  0  1  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  
22  TOR  NBA  PF  29  0  11.8  1.4  2.6  .560  0.0  0.1  .500  1.4  2.5  .562  .567  1.1  1.3  .816  1.0  1.6  2.7  0.4  0.4  0.5  0.6  1.8  4.0  37  Right  6-7  240  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  
23  SAC  NBA  SF  56  0  14.0  1.1  2.3  .472  0.0  0.2  .200  1.0  2.1  .496  .480  0.5  0.8  .667  1.2  2.4  3.6  0.4  0.3  0.4  0.5  2.0  2.7  37  Right  6-7  240  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  
24  NYK  NBA  PF  68  22  18.9  2.2  4.9  .459  0.3  0.9  .300  2.0  4.0  .494  .486  1.1  1.4  .784  1.2  3.3  4.4  1.0  0.4  0.3  0.9  2.2  5.9  37  Right  6-7  240  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  
25  SAC  NBA  PF  59  29  14.8  2.0  3.6  .556  0.3  0.8  .388  1.7  2.8  .606  .600  0.8  1.2  .735  1.1  2.1  3.2  0.5  0.5  0.4  0.5  1.7  5.2  37  Right  6-7  240  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  
27  BRK  NBA  PF  19  0  17.5  1.6  4.7  .333  1.3  3.8  .342  0.3  0.9  .294  .472  1.2  1.4  .846  0.5  3.2  3.7  0.7  0.4  0.2  1.1  2.1  5.6  37  Right  6-7  240  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  
20  MEM  NBA  SG  30  0  8.3  1.2  2.9  .407  0.3  0.8  .400  0.8  2.0  .410  .465  0.5  0.8  .609  0.3  0.6  0.9  0.5  0.5  0.2  0.5  0.8  3.1  22  Right  6-5  209  0  1  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  
21  OKC  NBA  C  70  67  25.3  3.1  5.7  .544  0.0  0.0  .000  3.1  5.7  .547  .544  1.5  2.9  .502  2.8  4.6  7.5  0.9  0.5  1.2  1.4  3.2  7.7  12  Right  7-0  255  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  
22  OKC  NBA  C  80  80  25.2  3.3  5.3  .613  0.0  0.0  0.0  3.3  5.3  .613  .613  1.4  2.5  .582  2.7  3.9  6.7  0.8  0.5  1.1  1.1  2.8  8.0  12  Right  7-0  255  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  
23  OKC  NBA  C  80  80  29.9  4.7  8.2  .571  0.0  0.0  .000  4.7  8.2  .572  .571  2.0  3.2  .611  3.5  4.2  7.7  1.1  1.1  1.0  1.8  2.4  11.3  12  Right  7-0  255  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  
24  OKC  NBA  C  21  21  31.2  5.8  9.0  .640  0.0  0.0  0.0  5.8  9.0  .640  .640  1.9  2.9  .656  4.6  3.8  8.4  0.8  1.4  1.0  1.9  2.7  13.4  12  Right  7-0  255  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  
22  DET  NBA  SG  75  9  12.9  1.3  3.2  .411  0.1  0.6  .208  1.2  2.6  .461  .432  0.9  1.2  .782  0.5  1.3  1.8  0.7  0.4  0.1  0.5  1.1  3.7  27  Right  6-5  210  0  1  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  
23  DET  NBA  SG  74  8  16.7  1.8  4.1  .437  0.6  1.4  .402  1.2  2.6  .456  .508  0.8  1.0  .817  0.4  1.4  1.8  0.6  0.4  0.2  0.6  1.9  4.9  27  Right  6-5  210  0  1  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  
24  DEN  NBA  SG  82  75  27.1  3.3  7.1  .465  1.3  3.0  .434  2.0  4.1  .488  .557  0.9  1.2  .735  0.7  2.4  3.1  1.7  0.6  0.4  0.9  2.7  8.8  27  Right  6-5  210  0  1  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  
